                x            Retst            utau*        thetatau*              <r>             <mu>              <u>              {u}              <p>              <T>              {T}             <rr>           {u"u"}           {v"v"}           {w"w"}           {u"w"}             <pp>           {T"T"}              pw"
   0.13975051E-01   0.55467689E+03   0.45539340E-01   0.16374156E+00   0.13909469E+01   0.11419766E-03   0.38334286E+00   0.37027067E+00   0.19785346E+00   0.18156182E+01   0.17922709E+01   0.27506564E-01   0.73773197E-04   0.14062579E-02   0.14006547E-01  -0.46005790E-03   0.43316839E-04   0.42848396E-01   0.70227956E-04
   0.14986464E-01   0.54265182E+03   0.45942453E-01   0.16519099E+00   0.13666448E+01   0.11570405E-03   0.40232023E+00   0.38883327E+00   0.19783556E+00   0.18475929E+01   0.18239765E+01   0.26550597E-01   0.88353441E-04   0.15093139E-02   0.15002490E-01  -0.52340018E-03   0.43284321E-04   0.44085532E-01   0.70920318E-04
   0.16012245E-01   0.53167272E+03   0.46322527E-01   0.16655759E+00   0.13443103E+01   0.11712441E-03   0.42066301E+00   0.40682932E+00   0.19781541E+00   0.18778553E+01   0.18540914E+01   0.25582765E-01   0.10454285E-03   0.16120859E-02   0.15950097E-01  -0.58870403E-03   0.43264170E-04   0.45074137E-01   0.71370103E-04
   0.17052582E-01   0.52162586E+03   0.46680904E-01   0.16784617E+00   0.13237485E+01   0.11846379E-03   0.43837923E+00   0.42426423E+00   0.19779441E+00   0.19064925E+01   0.18826911E+01   0.24613144E-01   0.12239055E-03   0.17144899E-02   0.16845108E-01  -0.65550010E-03   0.43273595E-04   0.45830020E-01   0.71826834E-04
   0.18107667E-01   0.51240994E+03   0.47019113E-01   0.16906224E+00   0.13047736E+01   0.11972698E-03   0.45547824E+00   0.44114252E+00   0.19777108E+00   0.19335881E+01   0.19098452E+01   0.23652824E-01   0.14190762E-03   0.18164283E-02   0.17684069E-01  -0.72329417E-03   0.43296374E-04   0.46369597E-01   0.72116381E-04
   0.19177692E-01   0.50394026E+03   0.47338270E-01   0.17020980E+00   0.12872392E+01   0.12091845E-03   0.47197069E+00   0.45747179E+00   0.19774690E+00   0.19592223E+01   0.19356239E+01   0.22706862E-01   0.16312930E-03   0.19177890E-02   0.18464569E-01  -0.79166428E-03   0.43346685E-04   0.46710135E-01   0.72462511E-04
   0.20262852E-01   0.49613959E+03   0.47639727E-01   0.17129373E+00   0.12709998E+01   0.12204243E-03   0.48786846E+00   0.47325897E+00   0.19772035E+00   0.19834723E+01   0.19600919E+01   0.21782117E-01   0.18605093E-03   0.20184455E-02   0.19184895E-01  -0.86017575E-03   0.43410579E-04   0.46868746E-01   0.72704201E-04
   0.21363344E-01   0.48894358E+03   0.47924426E-01   0.17231739E+00   0.12559437E+01   0.12310292E-03   0.50318453E+00   0.48851389E+00   0.19769299E+00   0.20064118E+01   0.19833147E+01   0.20880627E-01   0.21069372E-03   0.21182635E-02   0.19844163E-01  -0.92847293E-03   0.43499821E-04   0.46862549E-01   0.73041659E-04
   0.22479367E-01   0.48229216E+03   0.48193577E-01   0.17328515E+00   0.12419545E+01   0.12410368E-03   0.51793288E+00   0.50324571E+00   0.19766323E+00   0.20281118E+01   0.20053526E+01   0.20006619E-01   0.23703814E-03   0.22170962E-02   0.20442075E-01  -0.99619372E-03   0.43602298E-04   0.46708058E-01   0.73324404E-04
   0.23611123E-01   0.47613566E+03   0.48447973E-01   0.17419986E+00   0.12289460E+01   0.12504827E-03   0.53212835E+00   0.51746622E+00   0.19763271E+00   0.20486402E+01   0.20262666E+01   0.19160322E-01   0.26509122E-03   0.23147950E-02   0.20978958E-01  -0.10630571E-02   0.43727819E-04   0.46421258E-01   0.73731339E-04
