                x            Retst            utau*        thetatau*              <r>             <mu>              <u>              {u}              <p>              <T>              {T}             <rr>           {u"u"}           {v"v"}           {w"w"}           {u"w"}             <pp>           {T"T"}              pw"
   0.11447447E+00   0.38123808E+03   0.53272459E-01   0.19154681E+00   0.10164325E+01   0.14203160E-03   0.85846788E+00   0.85509880E+00   0.19536825E+00   0.24250430E+01   0.24218432E+01   0.23184075E-02   0.25582950E-02   0.47079060E-02   0.13018037E-01  -0.23919954E-02   0.50465494E-04   0.10787671E-01   0.12869715E-03
   0.11684046E+00   0.38077847E+03   0.53300801E-01   0.19164872E+00   0.10153518E+01   0.14212743E-03   0.86101836E+00   0.85775612E+00   0.19534516E+00   0.24272088E+01   0.24241342E+01   0.22507482E-02   0.25834663E-02   0.47086047E-02   0.12827248E-01  -0.23920075E-02   0.50278029E-04   0.10485490E-01   0.12814861E-03
   0.11923656E+00   0.38033097E+03   0.53328351E-01   0.19174778E+00   0.10143030E+01   0.14222114E-03   0.86353537E+00   0.86037645E+00   0.19532365E+00   0.24293277E+01   0.24263736E+01   0.21857457E-02   0.26074419E-02   0.47084242E-02   0.12640849E-01  -0.23916378E-02   0.50079916E-04   0.10192421E-01   0.12753697E-03
   0.12166308E+00   0.37989424E+03   0.53355248E-01   0.19184449E+00   0.10132806E+01   0.14231287E-03   0.86602166E+00   0.86296258E+00   0.19530292E+00   0.24314021E+01   0.24285640E+01   0.21233213E-02   0.26302282E-02   0.47074136E-02   0.12458709E-01  -0.23908917E-02   0.49870356E-04   0.99081561E-02   0.12685153E-03
   0.12412031E+00   0.37946845E+03   0.53381417E-01   0.19193858E+00   0.10122874E+01   0.14240271E-03   0.86847981E+00   0.86551725E+00   0.19528375E+00   0.24334345E+01   0.24307082E+01   0.20633283E-02   0.26518276E-02   0.47055998E-02   0.12280742E-01  -0.23897794E-02   0.49651132E-04   0.96324319E-02   0.12610683E-03
   0.12660855E+00   0.37905235E+03   0.53406988E-01   0.19203053E+00   0.10113182E+01   0.14249077E-03   0.87091218E+00   0.86804281E+00   0.19526536E+00   0.24354273E+01   0.24328085E+01   0.20057061E-02   0.26722499E-02   0.47030064E-02   0.12106938E-01  -0.23883191E-02   0.49421480E-04   0.93650362E-02   0.12529080E-03
   0.12912811E+00   0.37864618E+03   0.53431888E-01   0.19212006E+00   0.10103759E+01   0.14257715E-03   0.87332087E+00   0.87054148E+00   0.19524849E+00   0.24373824E+01   0.24348670E+01   0.19503195E-02   0.26915002E-02   0.46996443E-02   0.11937322E-01  -0.23865282E-02   0.49183011E-04   0.91057665E-02   0.12441717E-03
   0.13167929E+00   0.37824884E+03   0.53456237E-01   0.19220760E+00   0.10094557E+01   0.14266191E-03   0.87570769E+00   0.87301510E+00   0.19523239E+00   0.24393016E+01   0.24368857E+01   0.18970950E-02   0.27095926E-02   0.46955271E-02   0.11771959E-01  -0.23844272E-02   0.48934798E-04   0.88544543E-02   0.12347678E-03
   0.13426238E+00   0.37786063E+03   0.53479958E-01   0.19229290E+00   0.10085604E+01   0.14274513E-03   0.87807420E+00   0.87546537E+00   0.19521777E+00   0.24411865E+01   0.24388663E+01   0.18458928E-02   0.27265370E-02   0.46906582E-02   0.11610901E-01  -0.23820330E-02   0.48678295E-04   0.86109241E-02   0.12248721E-03
   0.13687770E+00   0.37748055E+03   0.53503167E-01   0.19237635E+00   0.10076855E+01   0.14282688E-03   0.88042174E+00   0.87789366E+00   0.19520390E+00   0.24430383E+01   0.24408102E+01   0.17966385E-02   0.27423542E-02   0.46850424E-02   0.11454192E-01  -0.23793634E-02   0.48412498E-04   0.83750003E-02   0.12144353E-03
   0.13952555E+00   0.37710896E+03   0.53525788E-01   0.19245769E+00   0.10068340E+01   0.14290719E-03   0.88275149E+00   0.88030134E+00   0.19519146E+00   0.24448584E+01   0.24427188E+01   0.17492025E-02   0.27570603E-02   0.46786686E-02   0.11301846E-01  -0.23764311E-02   0.48138731E-04   0.81464629E-02   0.12036440E-03
   0.14220622E+00   0.37674490E+03   0.53547931E-01   0.19253730E+00   0.10060015E+01   0.14298614E-03   0.88506457E+00   0.88268953E+00   0.19517973E+00   0.24466479E+01   0.24445934E+01   0.17035257E-02   0.27706803E-02   0.46715285E-02   0.11153890E-01  -0.23732508E-02   0.47856053E-04   0.79250948E-02   0.11924392E-03
   0.14492003E+00   0.37638872E+03   0.53569522E-01   0.19261493E+00   0.10051907E+01   0.14306376E-03   0.88736205E+00   0.88505947E+00   0.19516936E+00   0.24484080E+01   0.24464352E+01   0.16594949E-02   0.27832356E-02   0.46636115E-02   0.11010315E-01  -0.23698309E-02   0.47565736E-04   0.77106227E-02   0.11809766E-03
   0.14766727E+00   0.37603949E+03   0.53590669E-01   0.19269097E+00   0.10043976E+01   0.14314012E-03   0.88964503E+00   0.88741233E+00   0.19515967E+00   0.24501397E+01   0.24482455E+01   0.16170420E-02   0.27947575E-02   0.46549246E-02   0.10871026E-01  -0.23661751E-02   0.47266909E-04   0.75027253E-02   0.11691906E-03
   0.15044825E+00   0.37569753E+03   0.53611305E-01   0.19276517E+00   0.10036245E+01   0.14321526E-03   0.89191470E+00   0.88974952E+00   0.19515127E+00   0.24518444E+01   0.24500259E+01   0.15760473E-02   0.28052741E-02   0.46454744E-02   0.10735788E-01  -0.23622759E-02   0.46960987E-04   0.73010042E-02   0.11572291E-03
   0.15326327E+00   0.37536191E+03   0.53631535E-01   0.19283791E+00   0.10028675E+01   0.14328924E-03   0.89417238E+00   0.89207242E+00   0.19514349E+00   0.24535231E+01   0.24517775E+01   0.15364456E-02   0.28148216E-02   0.46352750E-02   0.10604284E-01  -0.23581238E-02   0.46647307E-04   0.71051019E-02   0.11450279E-03
   0.15611262E+00   0.37503294E+03   0.53651294E-01   0.19290896E+00   0.10021289E+01   0.14336211E-03   0.89641942E+00   0.89438259E+00   0.19513691E+00   0.24551771E+01   0.24535018E+01   0.14981444E-02   0.28234311E-02   0.46243333E-02   0.10476178E-01  -0.23537091E-02   0.46327384E-04   0.69147251E-02   0.11327298E-03
   0.15899662E+00   0.37470978E+03   0.53670683E-01   0.19297867E+00   0.10014050E+01   0.14343392E-03   0.89865715E+00   0.89668140E+00   0.19513089E+00   0.24568073E+01   0.24551996E+01   0.14611085E-02   0.28311428E-02   0.46126578E-02   0.10351190E-01  -0.23490341E-02   0.46000730E-04   0.67296855E-02   0.11202865E-03
   0.16191556E+00   0.37439281E+03   0.53689632E-01   0.19304680E+00   0.10006983E+01   0.14350469E-03   0.90088675E+00   0.89897018E+00   0.19512600E+00   0.24584145E+01   0.24568720E+01   0.14252737E-02   0.28379892E-02   0.46002459E-02   0.10229106E-01  -0.23441082E-02   0.45668870E-04   0.65498134E-02   0.11078599E-03
   0.16486975E+00   0.37408127E+03   0.53708235E-01   0.19311369E+00   0.10000052E+01   0.14357445E-03   0.90310921E+00   0.90124993E+00   0.19512160E+00   0.24599991E+01   0.24585194E+01   0.13906296E-02   0.28440098E-02   0.45871042E-02   0.10109789E-01  -0.23389500E-02   0.45331567E-04   0.63749880E-02   0.10954254E-03
   0.16785948E+00   0.37377557E+03   0.53726424E-01   0.19317909E+00   0.99932821E+00   0.14364323E-03   0.90532536E+00   0.90352162E+00   0.19511825E+00   0.24615617E+01   0.24601427E+01   0.13571348E-02   0.28492362E-02   0.45732497E-02   0.99931336E-02  -0.23335750E-02   0.44990640E-04   0.62051013E-02   0.10831456E-03
   0.17088504E+00   0.37347501E+03   0.53744288E-01   0.19324332E+00   0.99866400E+00   0.14371105E-03   0.90753594E+00   0.90578599E+00   0.19511533E+00   0.24631028E+01   0.24617421E+01   0.13247745E-02   0.28537046E-02   0.45587208E-02   0.98790463E-02  -0.23279948E-02   0.44646153E-04   0.60400385E-02   0.10709678E-03
   0.17394674E+00   0.37318001E+03   0.53761758E-01   0.19330614E+00   0.99801506E+00   0.14377792E-03   0.90974165E+00   0.90804386E+00   0.19511340E+00   0.24646228E+01   0.24633183E+01   0.12934900E-02   0.28574417E-02   0.45435481E-02   0.97674221E-02  -0.23222084E-02   0.44300106E-04   0.58796537E-02   0.10589892E-03
   0.17704488E+00   0.37288991E+03   0.53778920E-01   0.19336785E+00   0.99737818E+00   0.14384385E-03   0.91194318E+00   0.91029592E+00   0.19511184E+00   0.24661220E+01   0.24648717E+01   0.12632470E-02   0.28604773E-02   0.45277721E-02   0.96581728E-02  -0.23162087E-02   0.43952561E-04   0.57238443E-02   0.10470946E-03
   0.18017974E+00   0.37260517E+03   0.53795704E-01   0.19342820E+00   0.99675591E+00   0.14390886E-03   0.91414120E+00   0.91254292E+00   0.19511121E+00   0.24676004E+01   0.24664024E+01   0.12339831E-02   0.28628349E-02   0.45114506E-02   0.95512351E-02  -0.23099825E-02   0.43605168E-04   0.55725647E-02   0.10353254E-03
   0.18335162E+00   0.37232522E+03   0.53812189E-01   0.19348747E+00   0.99614530E+00   0.14397295E-03   0.91633630E+00   0.91478541E+00   0.19511091E+00   0.24690581E+01   0.24679105E+01   0.12056658E-02   0.28645433E-02   0.44946834E-02   0.94466103E-02  -0.23035215E-02   0.43257488E-04   0.54257828E-02   0.10235321E-03
   0.18656081E+00   0.37205056E+03   0.53828304E-01   0.19354541E+00   0.99554895E+00   0.14403610E-03   0.91852888E+00   0.91702380E+00   0.19511148E+00   0.24704949E+01   0.24693960E+01   0.11782373E-02   0.28656227E-02   0.44775825E-02   0.93443410E-02  -0.22968209E-02   0.42910520E-04   0.52834140E-02   0.10117306E-03
   0.18980760E+00   0.37178064E+03   0.53844125E-01   0.19360230E+00   0.99496401E+00   0.14409832E-03   0.92071908E+00   0.91925821E+00   0.19511235E+00   0.24719109E+01   0.24708588E+01   0.11516672E-02   0.28660946E-02   0.44602437E-02   0.92444901E-02  -0.22898847E-02   0.42563305E-04   0.51453561E-02   0.99977853E-04
   0.19309228E+00   0.37151587E+03   0.53859585E-01   0.19365789E+00   0.99439290E+00   0.14415962E-03   0.92290689E+00   0.92148869E+00   0.19511405E+00   0.24733063E+01   0.24722994E+01   0.11259026E-02   0.28659655E-02   0.44426951E-02   0.91471005E-02  -0.22827134E-02   0.42216316E-04   0.50114666E-02   0.98770937E-04
   0.19641514E+00   0.37125563E+03   0.53874762E-01   0.19371246E+00   0.99383270E+00   0.14422003E-03   0.92509216E+00   0.92371512E+00   0.19511604E+00   0.24746816E+01   0.24737183E+01   0.11009060E-02   0.28652412E-02   0.44248926E-02   0.90522057E-02  -0.22753104E-02   0.41868318E-04   0.48815572E-02   0.97542704E-04
   0.19977645E+00   0.37100026E+03   0.53889596E-01   0.19376579E+00   0.99328565E+00   0.14427958E-03   0.92727473E+00   0.92593744E+00   0.19511885E+00   0.24760376E+01   0.24751163E+01   0.10766239E-02   0.28639174E-02   0.44067309E-02   0.89598320E-02  -0.22676815E-02   0.41519761E-04   0.47554224E-02   0.96302181E-04
   0.20317650E+00   0.37074915E+03   0.53904161E-01   0.19381816E+00   0.99274895E+00   0.14433829E-03   0.92945435E+00   0.92815541E+00   0.19512197E+00   0.24773748E+01   0.24764940E+01   0.10530374E-02   0.28619948E-02   0.43881012E-02   0.88700264E-02  -0.22598465E-02   0.41169639E-04   0.46329424E-02   0.95046982E-04
   0.20661558E+00   0.37050271E+03   0.53918393E-01   0.19386934E+00   0.99222494E+00   0.14439618E-03   0.93163064E+00   0.93036872E+00   0.19512589E+00   0.24786935E+01   0.24778517E+01   0.10301264E-02   0.28594710E-02   0.43689307E-02   0.87828471E-02  -0.22518370E-02   0.40818673E-04   0.45140809E-02   0.93792856E-04
   0.21009394E+00   0.37026041E+03   0.53932361E-01   0.19391956E+00   0.99171103E+00   0.14445324E-03   0.93380308E+00   0.93257688E+00   0.19513013E+00   0.24799939E+01   0.24791896E+01   0.10078853E-02   0.28563514E-02   0.43492084E-02   0.86983211E-02  -0.22436939E-02   0.40466009E-04   0.43987911E-02   0.92542868E-04
   0.21361188E+00   0.37002266E+03   0.53946004E-01   0.19396862E+00   0.99120950E+00   0.14450951E-03   0.93597123E+00   0.93477950E+00   0.19513516E+00   0.24812761E+01   0.24805079E+01   0.98628680E-03   0.28526400E-02   0.43289580E-02   0.86163691E-02  -0.22354470E-02   0.40112383E-04   0.42869598E-02   0.91314300E-04
   0.21716965E+00   0.36978895E+03   0.53959389E-01   0.19401674E+00   0.99071779E+00   0.14456497E-03   0.93813484E+00   0.93697639E+00   0.19514049E+00   0.24825404E+01   0.24818068E+01   0.96531284E-03   0.28483519E-02   0.43082475E-02   0.85368149E-02  -0.22271153E-02   0.39757088E-04   0.41784777E-02   0.90108323E-04
   0.22076753E+00   0.36955967E+03   0.53972458E-01   0.19406373E+00   0.99023806E+00   0.14461963E-03   0.94029393E+00   0.93916766E+00   0.19514657E+00   0.24837867E+01   0.24830865E+01   0.94492697E-03   0.28435000E-02   0.42871795E-02   0.84594278E-02  -0.22187014E-02   0.39400793E-04   0.40732754E-02   0.88936050E-04
   0.22440579E+00   0.36933431E+03   0.53985278E-01   0.19410983E+00   0.98976781E+00   0.14467351E-03   0.94244879E+00   0.94135364E+00   0.19515293E+00   0.24850154E+01   0.24843472E+01   0.92509817E-03   0.28381070E-02   0.42658783E-02   0.83839993E-02  -0.22102026E-02   0.39042643E-04   0.39712980E-02   0.87791012E-04
   0.22808468E+00   0.36911321E+03   0.53997794E-01   0.19415483E+00   0.98930903E+00   0.14472662E-03   0.94459990E+00   0.94353485E+00   0.19516000E+00   0.24862267E+01   0.24855893E+01   0.90578236E-03   0.28321880E-02   0.42444472E-02   0.83103852E-02  -0.22016131E-02   0.38683066E-04   0.38724153E-02   0.86677156E-04
   0.23180446E+00   0.36889578E+03   0.54010078E-01   0.19419900E+00   0.98885909E+00   0.14477899E-03   0.94674776E+00   0.94571183E+00   0.19516732E+00   0.24874213E+01   0.24868136E+01   0.88695305E-03   0.28257583E-02   0.42229724E-02   0.82385253E-02  -0.21929364E-02   0.38321314E-04   0.37764085E-02   0.85584975E-04
   0.23556538E+00   0.36868223E+03   0.54022080E-01   0.19424216E+00   0.98841973E+00   0.14483066E-03   0.94889273E+00   0.94788500E+00   0.19517534E+00   0.24886003E+01   0.24880212E+01   0.86858715E-03   0.28188222E-02   0.42015276E-02   0.81683958E-02  -0.21841877E-02   0.37958038E-04   0.36830207E-02   0.84519597E-04
   0.23936770E+00   0.36847196E+03   0.54033873E-01   0.19428456E+00   0.98798832E+00   0.14488168E-03   0.95103491E+00   0.95005450E+00   0.19518360E+00   0.24897647E+01   0.24892130E+01   0.85069023E-03   0.28113842E-02   0.41801803E-02   0.80999407E-02  -0.21753875E-02   0.37592867E-04   0.35920462E-02   0.83475374E-04
   0.24321166E+00   0.36826517E+03   0.54045410E-01   0.19432604E+00   0.98756659E+00   0.14493209E-03   0.95317441E+00   0.95222055E+00   0.19519255E+00   0.24909153E+01   0.24903902E+01   0.83325681E-03   0.28034453E-02   0.41589701E-02   0.80329975E-02  -0.21665332E-02   0.37226966E-04   0.35033051E-02   0.82458132E-04
   0.24709751E+00   0.36806131E+03   0.54056757E-01   0.19436684E+00   0.98715202E+00   0.14498192E-03   0.95531167E+00   0.95438358E+00   0.19520175E+00   0.24920529E+01   0.24915534E+01   0.81627802E-03   0.27950150E-02   0.41379074E-02   0.79673130E-02  -0.21575909E-02   0.36860467E-04   0.34166079E-02   0.81458242E-04
   0.25102548E+00   0.36786061E+03   0.54067868E-01   0.19440679E+00   0.98674632E+00   0.14503121E-03   0.95744756E+00   0.95654461E+00   0.19521160E+00   0.24931783E+01   0.24927036E+01   0.79972197E-03   0.27861038E-02   0.41169394E-02   0.79025983E-02  -0.21484999E-02   0.36494791E-04   0.33317484E-02   0.80474639E-04
   0.25499580E+00   0.36766257E+03   0.54078809E-01   0.19444613E+00   0.98634712E+00   0.14507998E-03   0.95958332E+00   0.95870491E+00   0.19522167E+00   0.24942918E+01   0.24938412E+01   0.78356481E-03   0.27767312E-02   0.40959488E-02   0.78386231E-02  -0.21392011E-02   0.36129984E-04   0.32485970E-02   0.79494448E-04
   0.25900871E+00   0.36746749E+03   0.54089529E-01   0.19448468E+00   0.98595618E+00   0.14512823E-03   0.96172021E+00   0.96086579E+00   0.19523235E+00   0.24953938E+01   0.24949665E+01   0.76778741E-03   0.27669171E-02   0.40747792E-02   0.77752449E-02  -0.21296535E-02   0.35767107E-04   0.31671604E-02   0.78519840E-04
   0.26306443E+00   0.36727494E+03   0.54100088E-01   0.19452264E+00   0.98557133E+00   0.14517597E-03   0.96385916E+00   0.96302818E+00   0.19524322E+00   0.24964844E+01   0.24960797E+01   0.75237971E-03   0.27566899E-02   0.40532977E-02   0.77123595E-02  -0.21198394E-02   0.35405899E-04   0.30875190E-02   0.77546517E-04
   0.26716317E+00   0.36708528E+03   0.54110436E-01   0.19455985E+00   0.98519441E+00   0.14522320E-03   0.96600073E+00   0.96519270E+00   0.19525464E+00   0.24975634E+01   0.24971807E+01   0.73732178E-03   0.27460772E-02   0.40314369E-02   0.76498420E-02  -0.21097478E-02   0.35047001E-04   0.30097419E-02   0.76583062E-04
   0.27130515E+00   0.36689811E+03   0.54120630E-01   0.19459650E+00   0.98482334E+00   0.14526992E-03   0.96814526E+00   0.96735967E+00   0.19526619E+00   0.24986309E+01   0.24982694E+01   0.72260115E-03   0.27351121E-02   0.40092061E-02   0.75875696E-02  -0.20993709E-02   0.34689723E-04   0.29338810E-02   0.75627027E-04
   0.27549058E+00   0.36671376E+03   0.54130619E-01   0.19463242E+00   0.98445988E+00   0.14531613E-03   0.97029297E+00   0.96952936E+00   0.19527823E+00   0.24996869E+01   0.24993459E+01   0.70820395E-03   0.27238184E-02   0.39866264E-02   0.75254750E-02  -0.20887043E-02   0.34334289E-04   0.28599406E-02   0.74686010E-04
   0.27971966E+00   0.36653181E+03   0.54140462E-01   0.19466781E+00   0.98410196E+00   0.14536183E-03   0.97244401E+00   0.97170187E+00   0.19529037E+00   0.25007315E+01   0.25004103E+01   0.69412443E-03   0.27122158E-02   0.39636942E-02   0.74636175E-02  -0.20777567E-02   0.33979793E-04   0.27878670E-02   0.73758712E-04
   0.28399258E+00   0.36635257E+03   0.54150110E-01   0.19470250E+00   0.98375131E+00   0.14540704E-03   0.97459838E+00   0.97387723E+00   0.19530297E+00   0.25017650E+01   0.25014630E+01   0.68036165E-03   0.27003132E-02   0.39403810E-02   0.74021599E-02  -0.20665498E-02   0.33626470E-04   0.27176047E-02   0.72855298E-04
   0.28830954E+00   0.36617568E+03   0.54159615E-01   0.19473668E+00   0.98340605E+00   0.14545175E-03   0.97675591E+00   0.97605524E+00   0.19531566E+00   0.25027873E+01   0.25025037E+01   0.66692600E-03   0.26881197E-02   0.39166437E-02   0.73413037E-02  -0.20551125E-02   0.33273750E-04   0.26491229E-02   0.71976342E-04
   0.29267072E+00   0.36600148E+03   0.54168926E-01   0.19477016E+00   0.98306800E+00   0.14549596E-03   0.97891626E+00   0.97823560E+00   0.19532879E+00   0.25037983E+01   0.25035325E+01   0.65381901E-03   0.26756429E-02   0.38924211E-02   0.72811980E-02  -0.20434685E-02   0.32922278E-04   0.25823764E-02   0.71131367E-04
   0.29707630E+00   0.36582966E+03   0.54178094E-01   0.19480312E+00   0.98273534E+00   0.14553967E-03   0.98107891E+00   0.98041778E+00   0.19534198E+00   0.25047979E+01   0.25045492E+01   0.64104140E-03   0.26628972E-02   0.38676718E-02   0.72218774E-02  -0.20316335E-02   0.32571841E-04   0.25173127E-02   0.70319015E-04
   0.30152645E+00   0.36566054E+03   0.54187070E-01   0.19483539E+00   0.98240979E+00   0.14558286E-03   0.98324335E+00   0.98260132E+00   0.19535559E+00   0.25057858E+01   0.25055536E+01   0.62858594E-03   0.26499010E-02   0.38423853E-02   0.71632239E-02  -0.20196054E-02   0.32223299E-04   0.24538769E-02   0.69543677E-04
   0.30602133E+00   0.36549385E+03   0.54195902E-01   0.19486715E+00   0.98208962E+00   0.14562552E-03   0.98540926E+00   0.98478589E+00   0.19536922E+00   0.25067618E+01   0.25065454E+01   0.61644086E-03   0.26366811E-02   0.38165908E-02   0.71050292E-02  -0.20073685E-02   0.31876629E-04   0.23920187E-02   0.68796355E-04
   0.31056111E+00   0.36532994E+03   0.54204542E-01   0.19489822E+00   0.98177654E+00   0.14566763E-03   0.98757673E+00   0.98697162E+00   0.19538321E+00   0.25077253E+01   0.25075242E+01   0.60457873E-03   0.26232614E-02   0.37903652E-02   0.70470754E-02  -0.19948938E-02   0.31532565E-04   0.23317095E-02   0.68073513E-04
   0.31514592E+00   0.36516853E+03   0.54213038E-01   0.19492877E+00   0.98146885E+00   0.14570918E-03   0.98974618E+00   0.98915896E+00   0.19539719E+00   0.25086761E+01   0.25084898E+01   0.59295595E-03   0.26096617E-02   0.37638142E-02   0.69891920E-02  -0.19821465E-02   0.31190661E-04   0.22729349E-02   0.67362712E-04
   0.31977593E+00   0.36500987E+03   0.54221346E-01   0.19495864E+00   0.98116809E+00   0.14575018E-03   0.99191814E+00   0.99134849E+00   0.19541149E+00   0.25096144E+01   0.25094424E+01   0.58152589E-03   0.25958863E-02   0.37370250E-02   0.69312885E-02  -0.19690994E-02   0.30851000E-04   0.22156954E-02   0.66662540E-04
   0.32445125E+00   0.36485359E+03   0.54229516E-01   0.19498801E+00   0.98087249E+00   0.14579065E-03   0.99409285E+00   0.99354044E+00   0.19542580E+00   0.25105407E+01   0.25103825E+01   0.57026694E-03   0.25819303E-02   0.37100617E-02   0.68733686E-02  -0.19557464E-02   0.30512649E-04   0.21599893E-02   0.65966297E-04
   0.32917202E+00   0.36469990E+03   0.54237506E-01   0.19501674E+00   0.98058352E+00   0.14583060E-03   0.99627001E+00   0.99573448E+00   0.19544045E+00   0.25114553E+01   0.25113105E+01   0.55918895E-03   0.25677779E-02   0.36829787E-02   0.68154800E-02  -0.19421037E-02   0.30175586E-04   0.21058350E-02   0.65276735E-04
   0.33393835E+00   0.36454848E+03   0.54245359E-01   0.19504498E+00   0.98029962E+00   0.14587005E-03   0.99844876E+00   0.99792970E+00   0.19545514E+00   0.25123585E+01   0.25122266E+01   0.54832548E-03   0.25534147E-02   0.36558481E-02   0.67576869E-02  -0.19282139E-02   0.29839417E-04   0.20532999E-02   0.64589748E-04
   0.33875037E+00   0.36439965E+03   0.54253031E-01   0.19507256E+00   0.98002240E+00   0.14590899E-03   0.10006279E+01   0.10001249E+01   0.19547019E+00   0.25132503E+01   0.25131307E+01   0.53770456E-03   0.25388331E-02   0.36287258E-02   0.67000619E-02  -0.19141395E-02   0.29504871E-04   0.20024355E-02   0.63911429E-04
   0.34360816E+00   0.36425313E+03   0.54260563E-01   0.19509964E+00   0.97975035E+00   0.14594742E-03   0.10028061E+01   0.10023187E+01   0.19548528E+00   0.25141305E+01   0.25140226E+01   0.52734146E-03   0.25240428E-02   0.36015902E-02   0.66426816E-02  -0.18999425E-02   0.29172178E-04   0.19532105E-02   0.63241263E-04
   0.34851183E+00   0.36410921E+03   0.54267913E-01   0.19512608E+00   0.97948495E+00   0.14598533E-03   0.10049826E+01   0.10045102E+01   0.19550070E+00   0.25149989E+01   0.25149022E+01   0.51722974E-03   0.25090609E-02   0.35743203E-02   0.65856115E-02  -0.18856610E-02   0.28842271E-04   0.19054836E-02   0.62584591E-04
   0.35346147E+00   0.36396759E+03   0.54275128E-01   0.19515202E+00   0.97922457E+00   0.14602272E-03   0.10071569E+01   0.10066991E+01   0.19551613E+00   0.25158554E+01   0.25157695E+01   0.50734858E-03   0.24939070E-02   0.35467582E-02   0.65288895E-02  -0.18713119E-02   0.28515105E-04   0.18590546E-02   0.61937634E-04
   0.35845714E+00   0.36382850E+03   0.54282169E-01   0.19517733E+00   0.97897055E+00   0.14605960E-03   0.10093285E+01   0.10088851E+01   0.19553186E+00   0.25167002E+01   0.25166247E+01   0.49767633E-03   0.24785917E-02   0.35187921E-02   0.64724982E-02  -0.18569042E-02   0.28191043E-04   0.18137706E-02   0.61303159E-04
   0.36349891E+00   0.36369167E+03   0.54289077E-01   0.19520217E+00   0.97872142E+00   0.14609596E-03   0.10114974E+01   0.10110679E+01   0.19554760E+00   0.25175334E+01   0.25174679E+01   0.48820067E-03   0.24631208E-02   0.34904018E-02   0.64163980E-02  -0.18424513E-02   0.27869527E-04   0.17695681E-02   0.60676509E-04
   0.36858686E+00   0.36355738E+03   0.54295812E-01   0.19522639E+00   0.97847864E+00   0.14613180E-03   0.10136631E+01   0.10132472E+01   0.19556362E+00   0.25183546E+01   0.25182989E+01   0.47891050E-03   0.24474947E-02   0.34616393E-02   0.63605460E-02  -0.18279655E-02   0.27550568E-04   0.17264130E-02   0.60060443E-04
   0.37372101E+00   0.36342534E+03   0.54302413E-01   0.19525012E+00   0.97824076E+00   0.14616712E-03   0.10158249E+01   0.10154224E+01   0.19557965E+00   0.25191641E+01   0.25191177E+01   0.46980623E-03   0.24317189E-02   0.34325896E-02   0.63048611E-02  -0.18134478E-02   0.27233684E-04   0.16842875E-02   0.59452946E-04
   0.37890141E+00   0.36329576E+03   0.54308846E-01   0.19527325E+00   0.97800902E+00   0.14620193E-03   0.10179828E+01   0.10175934E+01   0.19559596E+00   0.25199622E+01   0.25199247E+01   0.46090938E-03   0.24158002E-02   0.34033176E-02   0.62491960E-02  -0.17988804E-02   0.26919333E-04   0.16432093E-02   0.58859048E-04
   0.38412810E+00   0.36316831E+03   0.54315153E-01   0.19529593E+00   0.97778190E+00   0.14623626E-03   0.10201372E+01   0.10197605E+01   0.19561226E+00   0.25207491E+01   0.25207201E+01   0.45224756E-03   0.23997464E-02   0.33738628E-02   0.61934130E-02  -0.17842263E-02   0.26607580E-04   0.16031960E-02   0.58274108E-04
   0.38940108E+00   0.36304317E+03   0.54321300E-01   0.19531803E+00   0.97756062E+00   0.14627011E-03   0.10222891E+01   0.10219248E+01   0.19562884E+00   0.25215251E+01   0.25215044E+01   0.44382711E-03   0.23835522E-02   0.33442541E-02   0.61374727E-02  -0.17694317E-02   0.26298918E-04   0.15641795E-02   0.57696321E-04
   0.39472037E+00   0.36292004E+03   0.54327327E-01   0.19533970E+00   0.97734376E+00   0.14630350E-03   0.10244398E+01   0.10240876E+01   0.19564544E+00   0.25222908E+01   0.25222779E+01   0.43563245E-03   0.23671988E-02   0.33145209E-02   0.60814189E-02  -0.17544513E-02   0.25992836E-04   0.15259959E-02   0.57116038E-04
   0.40008597E+00   0.36279909E+03   0.54333198E-01   0.19536081E+00   0.97713255E+00   0.14633647E-03   0.10265898E+01   0.10262494E+01   0.19566236E+00   0.25230467E+01   0.25230412E+01   0.42763852E-03   0.23506510E-02   0.32846897E-02   0.60252707E-02  -0.17392569E-02   0.25688994E-04   0.14885121E-02   0.56530142E-04
   0.40549786E+00   0.36268002E+03   0.54338950E-01   0.19538149E+00   0.97692570E+00   0.14636901E-03   0.10287391E+01   0.10284100E+01   0.19567937E+00   0.25237931E+01   0.25237948E+01   0.41981675E-03   0.23338717E-02   0.32547906E-02   0.59690183E-02  -0.17238292E-02   0.25386232E-04   0.14516979E-02   0.55931553E-04
   0.41095602E+00   0.36256304E+03   0.54344545E-01   0.19540161E+00   0.97672452E+00   0.14640116E-03   0.10308870E+01   0.10305691E+01   0.19569676E+00   0.25245304E+01   0.25245390E+01   0.41213752E-03   0.23168293E-02   0.32248473E-02   0.59126605E-02  -0.17081513E-02   0.25083886E-04   0.14155713E-02   0.55321112E-04
   0.41646041E+00   0.36244789E+03   0.54350021E-01   0.19542130E+00   0.97652773E+00   0.14643292E-03   0.10330331E+01   0.10327260E+01   0.19571429E+00   0.25252588E+01   0.25252740E+01   0.40457564E-03   0.22995098E-02   0.31948861E-02   0.58561987E-02  -0.16922081E-02   0.24780887E-04   0.13801444E-02   0.54694503E-04
